1565691522287.log,1565691937221.log,1565692310558.log,1565693142985.log,1565693579795.log,
2000,2000,2000,2000,2000,
1995,2000,2000,2000,2000,
1965,1980,1985,1975,1950,
1915,1930,2005,1930,1900,
2320,2345,1960,1865,1910,
2280,2280,1950,1895,2140,
2220,2725,1935,1835,2085,
2170,2655,1895,1800,2010,
2095,2585,1855,1745,1945,
2040,2600,1790,1740,1875,
2035,2545,1715,1725,1875,
2035,2465,1640,1635,1815,
2035,2385,1730,1555,1905,
2065,2330,1745,1520,1845,
2065,2495,1795,1445,1760,
2140,2445,2255,2345,1685,
2170,2360,2270,2360,1620,
2200,2290,2245,2305,1560,
2200,2280,2215,2440,2090,
2200,2245,2155,2395,2005,
2200,2215,2145,2320,1925,
2205,2215,3135,2245,1850,
2145,2215,3075,2170,1795,
2070,2215,3090,2135,1720,
2015,2175,3090,2050,1675,
1935,2075,3090,2080,1620,
1860,2000,3110,2015,1535,
1785,1975,3110,2025,1615,
1755,1985,3090,1935,1570,
1690,2030,3175,1865,1650,
1600,1995,3095,1820,1590,
1525,1990,3000,1755,1550,
1465,1960,2925,1690,1450,
1410,1945,2880,2115,1520,
1400,1840,2855,2045,1445,
1340,1805,2805,1985,1425,
1290,1770,2735,1980,1380,
1205,1805,2690,1910,1310,
1130,1930,2605,1850,1240,
1485,1845,2535,1795,1230,
1425,1785,2460,1795,1210,
1450,1700,2385,1930,1315,
1450,1640,2330,1840,1255,
1525,1600,2245,1795,1175,
1525,1580,2250,1750,1095,
1825,1500,2210,1685,1025,
1900,1425,2135,1610,960,
1880,1350,2765,1535,900,
2015,1305,3415,1465,1370,
1955,1230,3680,1390,1355,
1950,1155,3625,1355,1300,
1905,1100,3555,1285,1250,
1820,1025,3475,1210,1160,
1735,1015,3865,2185,1075,
1745,935,3790,2125,1015,
1965,885,3775,2115,945,
2975,885,3710,2090,870,
2890,1420,3635,2035,805,
2815,1645,3565,2000,745,
2740,1605,3550,1930,705,
2715,1530,3490,2455,1170,
2960,1450,3415,2410,1100,
2910,1375,3360,2320,1055,
2845,1305,3415,2250,1195,
2760,1250,3340,2180,1110,
2690,1195,3270,2095,1030,
2610,1105,3210,2060,980,
2990,1030,3150,2390,960,
2985,1065,3105,2340,880,
2995,1115,3095,3200,810,
3000,1060,3050,3140,785,
3015,970,3005,3100,720,
2980,890,3045,3020,680,
2910,1470,3025,3475,625,
2905,1380,2985,3755,545,
2900,1305,2885,3720,545,
2890,1265,3815,3720,790,
2845,1195,3740,3720,760,
2835,1125,3670,3725,670,
2840,1245,3640,3725,860,
2895,1400,3620,3660,855,
2840,1400,3545,3605,845,
2735,1400,3920,3605,845,
2660,1400,3855,3605,855,
2580,1420,3825,3560,780,
2860,1420,3750,3575,725,
2795,1420,3675,3590,715,
2735,1375,3970,3585,730,
2640,1375,3930,3535,710,
2565,1305,3925,3565,680,
2545,1285,4395,3630,700,
2455,1240,4325,3540,740,
2385,1180,4255,3560,785,
2305,1110,4580,3480,745,
2265,1035,4550,3455,655,
2700,955,4550,3380,580,
2705,895,4550,3300,515,
2695,820,4565,3230,440,
2625,740,4565,3230,525,
2570,680,4845,3200,520,
2520,630,4835,3345,450,
2465,555,4840,3245,385,
2390,505,4820,3165,375,
2320,425,4840,3155,560,
2250,385,4805,3075,495,
2220,305,4785,3210,430,
2185,240,4765,3595,340,
2635,220,4780,3515,290,
2575,130,4765,3470,225,
2710,85,4670,3430,175,
2690,50,5040,3350,125,
2660,0,5095,3325,50,
2765,0,5090,3275,0,
2695,0,,3195,0,
2685,,,3115,0,
2735,,,3040,0,
2670,,,2965,0,
2620,,,2915,0,
2545,,,2845,0,
2475,,,2800,0,
2400,,,2730,0,
2340,,,2710,,
2390,,,2640,,
2340,,,2585,,
2300,,,2530,,
2425,,,2535,,
2350,,,2865,,
2370,,,2795,,
2320,,,2735,,
2235,,,2650,,
2170,,,2575,,
2080,,,2540,,
2045,,,2460,,
2025,,,2395,,
1975,,,2340,,
1915,,,2290,,
1845,,,2210,,
1780,,,2155,,
1730,,,2480,,
1655,,,2410,,
1580,,,2340,,
1540,,,2365,,
1465,,,2390,,
1420,,,2355,,
1350,,,2525,,
