564035860098_new2_400.log,1564026723416.log,1564027299692.log,1564037713124.log,1564040012900.log,1564040435706.log,1564052081570.log,1564462932966.log,1564463268266.log,1564463661152.log,1564463980207.log,1564464182433.log,1564466253983.log,1564468461018.log,1564471188022.log,1564981396164.log,1565069728855.log,
2000,2000,2000,2000,2000,2000.5,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1999,
2000,1997.5,1999.5,2000,1995,1995,2000,1995,2000,2000,1990,2000,1998,2000.5,2000,1993.5,1993.5,
2000,1997.5,1995.5,1980,1960,1988.5,2000,1980,2000,1960,1950,2000,1996.5,1999.5,1990,1989,2028.5,
1995,1977.5,1996.5,1985,1895,1980.5,2000,1945,2001.5,1975,1895,1995,1996.5,2018,1920,1989,2473.5,
1960,1912.5,1996,1960,1915,1977.5,2000,1890,2000.5,1935,1860,1995,1991.5,2015.5,1790,1989,2453.5,
1930,1842.5,2002,1910,1925,1973,2050,1860,2000.5,1860,1895,1995,1976.5,2000.5,1640,1989,2448.5,
1895,1782.5,1997,1865,1875,1966,2020,1850,1990.5,1815,1900,1995,1901.5,1940.5,1610,1989,2423.5,
1895,1757.5,1993,1870,1800,1958,1970,1815,2000.5,1815,1900,1990,1881.5,1915.5,2460,1989,2458.5,
1875,2087.5,1985,1820,1730,1953,1940,2105,1900.5,1815,1900,2365,1876.5,1830.5,2410,1989,2468.5,
1835,2072.5,1982,1765,1790,1950.5,1875,2490,1770.5,1805,1900,2365,2061.5,1755.5,3330,1989,2408.5,
1815,2002.5,1975,1680,1950,1944,1830,2470,1710.5,1805,1900,2375,2001.5,1730.5,3440,1989,2408.5,
1755,2032.5,2021,1715,1920,1941,1765,2450,1820.5,1805,1900,2365,1936.5,1750.5,3440,1944,2353.5,
1720,1952.5,2013.5,1650,1845,1935.5,1690,2390,1830.5,1790,1875,2365,1866.5,2070.5,3440,1879,2278.5,
1665,1917.5,2022,1580,1785,1929,1645,2355,1740.5,1765,1800,2360,1821.5,2075.5,3440,1839,2193.5,
1610,1862.5,2016,1560,1710,1925,1570,2360,1640.5,1765,1745,2380,1851.5,2010.5,3440,1884,2118.5,
1540,1802.5,2013,1515,1630,1917.5,1535,2285,1490.5,1765,1920,2380,1851.5,1990.5,3440,1849,2113.5,
1490,1732.5,2009.5,1595,1560,1917.5,1470,2210,1370.5,1760,1845,2380,1851.5,1940.5,3440,1819,2113.5,
1430,1717.5,2032,1515,1475,1872.5,1410,2380,1270.5,1750,1795,2380,1851.5,2130.5,3440,1774,2108.5,
1885,1682.5,2031,1440,1450,1797.5,1400,2325,1240.5,1750,1705,2380,1851.5,2080.5,3440,1994,2113.5,
1800,1617.5,2030,1360,1530,1727.5,1535,2275,1190.5,1750,1630,2340,1851.5,2055.5,3450,1969,2113.5,
1880,1532.5,2023.5,1305,1535,1652.5,1560,2275,1120.5,1750,1575,2295,1851.5,2285.5,3360,1934,2113.5,
2310,1487.5,2018.5,1270,1865,1592.5,1730,2430,980.5,1725,1615,2220,1851.5,2275.5,3270,1864,2083.5,
2280,1482.5,2017.5,1195,1855,1582.5,1695,2355,840.5,1725,1575,2495,1851.5,2195.5,3130,1794,2083.5,
2235,1552.5,2017.5,1225,1855,1527.5,1700,2305,710.5,1655,1530,2450,1851.5,2125.5,3120,1784,2083.5,
2180,1477.5,2017.5,1160,1855,1452.5,1645,2265,590.5,1585,1500,2660,1851.5,2080.5,3420,1924,2083.5,
2110,1407.5,2017.5,1115,1855,1377.5,1600,2250,530.5,1625,1420,2600,1851.5,2000.5,3330,1834,2083.5,
2045,1347.5,2014,1040,1855,1337.5,1525,2240,990.5,1620,1345,2545,1851.5,2225.5,3300,1764,2083.5,
2000,1332.5,2015,1105,1840,1337.5,1495,2240,850.5,1590,1270,2480,1851.5,2180.5,3240,1744,2083.5,
1935,1332.5,2012,1040,1805,1712.5,1420,2170,980.5,1555,1290,2415,1851.5,2530.5,3280,1679,2083.5,
