564035860098_new2_400.log,1564026723416.log,1564027299692.log,1564037713124.log,1564040012900.log,1564040435706.log,1564052081570.log,1564462932966.log,1564463268266.log,1564463661152.log,1564463980207.log,1564464182433.log,1564466253983.log,1564468461018.log,1564471188022.log,1564981396164.log,1565069728855.log,
 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1,
 0, 2.5, 0.5, 0, 5, 9, 0, 5, 0, 0, 10, 0, 2, 1.5, 0, 6.5, 6.5,
 0, 2.5, 7.5, 60, 90, 15.5, 0, 60, 0, 40, 80, 0, 3.5, 2.5, 30, 15, 81.5,
 5, 42.5, 16.5, 195, 175, 23.5, 0, 165, 6.5, 185, 155, 5, 3.5, 23, 160, 15, 686.5,
 40, 107.5, 31, 290, 335, 30.5, 0, 220, 8.5, 245, 210, 5, 28.5, 25.5, 310, 15, 706.5,
 70, 197.5, 48, 380, 415, 40, 70, 260, 8.5, 330, 265, 5, 133.5, 40.5, 460, 15, 781.5,
 125, 277.5, 56, 475, 515, 47, 110, 280, 58.5, 375, 270, 5, 208.5, 120.5, 610, 15, 806.5,
 185, 382.5, 67, 580, 590, 55, 160, 325, 308.5, 375, 270, 10, 298.5, 185.5, 1740, 15, 941.5,
 225, 852.5, 75, 670, 670, 64, 210, 645, 448.5, 375, 270, 455, 303.5, 270.5, 1950, 15, 1031.5,
 265, 977.5, 80, 735, 810, 74.5, 285, 1050, 578.5, 405, 270, 465, 508.5, 345.5, 3130, 15, 1091.5,
 355, 1047.5, 87, 830, 1120, 81, 360, 1080, 818.5, 435, 270, 485, 598.5, 450.5, 3300, 15, 1231.5,
 415, 1177.5, 140, 995, 1230, 84, 435, 1100, 1188.5, 435, 270, 495, 673.5, 570.5, 3300, 60, 1326.5,
 490, 1257.5, 147.5, 1070, 1305, 89.5, 510, 1160, 1458.5, 450, 295, 495, 743.5, 1030.5, 3300, 135, 1401.5,
 565, 1292.5, 169, 1140, 1365, 96, 585, 1195, 1608.5, 475, 370, 520, 798.5, 1165.5, 3300, 205, 1486.5,
 640, 1347.5, 176, 1240, 1440, 104, 660, 1250, 1748.5, 475, 425, 580, 878.5, 1240.5, 3300, 360, 1561.5,
 710, 1437.5, 184, 1335, 1520, 111.5, 725, 1325, 1898.5, 475, 740, 580, 878.5, 1360.5, 3300, 475, 1566.5,
 790, 1507.5, 193.5, 1545, 1590, 111.5, 800, 1400, 2058.5, 480, 815, 580, 878.5, 1450.5, 3300, 575, 1566.5,
 860, 1622.5, 230, 1625, 1675, 156.5, 880, 1610, 2238.5, 520, 865, 580, 878.5, 1760.5, 3300, 680, 1571.5,
 1425, 1687.5, 242, 1700, 1760, 231.5, 960, 1665, 2488.5, 520, 955, 580, 878.5, 1810.5, 3300, 1030, 1596.5,
 1510, 1782.5, 248, 1780, 1930, 301.5, 1215, 1725, 2678.5, 520, 1030, 670, 878.5, 1915.5, 3370, 1085, 1596.5,
 1720, 1867.5, 254.5, 1855, 2075, 376.5, 1380, 1745, 2848.5, 530, 1095, 715, 878.5, 2275.5, 3560, 1190, 1596.5,
 2290, 1942.5, 259.5, 1970, 2485, 456.5, 1620, 1980, 2988.5, 555, 1245, 790, 878.5, 2385.5, 3730, 1290, 1646.5,
 2380, 1957.5, 260.5, 2045, 2495, 486.5, 1685, 2055, 3128.5, 555, 1305, 1185, 878.5, 2465.5, 3870, 1360, 1696.5,
 2475, 2187.5, 260.5, 2175, 2495, 541.5, 1790, 2115, 3298.5, 625, 1350, 1240, 878.5, 2535.5, 4100, 1490, 1696.5,
 2550, 2262.5, 260.5, 2260, 2495, 616.5, 1875, 2165, 3438.5, 695, 1400, 1620, 878.5, 2630.5, 4620, 1740, 1696.5,
 2620, 2332.5, 260.5, 2335, 2495, 691.5, 1960, 2200, 3578.5, 845, 1480, 1690, 878.5, 2710.5, 4730, 1830, 1696.5,
 2695, 2392.5, 267, 2410, 2495, 771.5, 2035, 2210, 4318.5, 850, 1565, 1765, 878.5, 3075.5, 4960, 1900, 1696.5,
 2760, 2407.5, 278, 2575, 2510, 771.5, 2115, 2210, 4458.5, 880, 1640, 1840, 878.5, 3160.5, 5060, 1990, 1696.5,
 2825, 2447.5, 281, 2650, 2605, 1146.5, 2190, 2280, 4708.5, 915, 1660, 1905, 878.5, 3620.5, 5340, 2055, 1696.5,
 2915, 2522.5, 289, 3115, 2675, 1146.5, 2265, 2350, 4848.5, 940, 1660, 1990, 878.5, 3625.5, 5520, 2135, 1761.5,
 2985, 2672.5, 289, 3485, 2745, 1206.5, 2340, 2755, 5068.5, 955, 1660, 2070, 878.5, 3625.5, 6600, 2410, 1836.5,
 3090, 2722.5, 289, 3555, 3225, 1246.5, 2415, 2755, 5208.5, 1020, 1660, 2175, 878.5, 3625.5, 6600, 2485, 1896.5,
 3170, 2797.5, 289, 3630, 3320, 1321.5, 2480, 2760, 5478.5, 1110, 1660, 2530, 878.5, 3650.5, 6600, 2585, 1931.5,
 3300, 2872.5, 289, 3795, 3400, 1396.5, 2720, 2770, 5618.5, 1185, 1860, 2610, 878.5, 3695.5, 6600, 2765, 1956.5,
 3380, 2907.5, 289, 3810, 3465, 1466.5, 2795, 2815, 5778.5, 1250, 2260, 2685, 878.5, 4710.5, 6600, 3240, 2011.5,
 3435, 2972.5, 289, 3845, 3480, 1541.5, 2955, 3130, 5928.5, 1370, 2260, 2840, 878.5, 4710.5, 6600, 3325, 2086.5,
 3545, 3047.5, 289, 3950, 3540, 1611.5, 3015, 3130, 6858.5, 1435, 2295, 2925, 878.5, 4710.5, 6600, 3405, 2161.5,
 3615, 3127.5, 289, 4095, 4340, 1636.5, 3090, 3130, 7018.5, 1690, 2420, 3045, 878.5, 4710.5,, 3480, 2266.5,
 3690, 3172.5, 289, 4155, 4420, 1696.5, 3180, 3175, 7358.5, 1760, 2520, 3145, 878.5, 4710.5,, 4040, 2436.5,
 3740, 3172.5, 289, 4230, 4535, 1751.5, 3575, 3250, 7508.5, 1835, 2605, 3255, 878.5, 4710.5,, 4225, 2516.5,
 3835, 3192.5, 289, 4310, 4605, 1826.5, 3645, 3560, 7748.5, 1945, 2695, 3520, 878.5, 4710.5,, 4405, 2586.5,
 3910, 3452.5, 289, 4385, 4685, 1906.5, 3720, 3605, 7958.5, 1985, 2780, 3795, 878.5, 4710.5,, 4665, 2676.5,
 3995, 3562.5, 289, 4470, 4810, 1981.5, 3795, 3640, 8968.5, 2145, 2955, 3850, 878.5, 4710.5,, 4700, 2751.5,
 4100, 3637.5, 289, 5810, 4890, 2036.5, 3860, 3645, 9158.5, 2215, 3030, 4125, 878.5, 4710.5,, 4700, 3331.5,
 4175, 3712.5, 289, 5885, 4980, 2116.5, 3925, 3645, 9248.5, 2385, 3345, 4125, 878.5, 4710.5,, 4720, 3426.5,
 4245, 4182.5, 296.5, 5955, 5090, 2191.5, 3995, 3645, 9408.5, 2480, 3425, 4175, 878.5, 4710.5,, 4725, 3501.5,
 4340, 4267.5, 301.5, 5995, 5160, 2271.5, 4070, 3655, 9548.5, 2550, 3490, 4895, 878.5, 4710.5,, 4730, 3586.5,
 4475, 4342.5, 309, 6065, 5250, 2351.5, 4145, 3710, 9698.5, 2605, 3570, 4895, 878.5, 4710.5,, 4805, 3701.5,
 4545, 4412.5, 340.5, 6140, 5325, 2426.5, 4235, 3780, 9838.5, 2640, 3650, 4895, 878.5, 4710.5,, 4875, 3771.5,
 4615, 4522.5, 340.5, 6215, 5405, 2526.5, 4340, 4280, 9998.5, 2685, 3725, 4895, 878.5, 4710.5,, 4900, 3846.5,
 4705, 4627.5, 340.5, 6285, 5475, 2771.5, 4415, 4280, 10148.5, 2825, 3800, 4895, 878.5, 4710.5,, 4900, 3921.5,
 4775, 4727.5, 340.5, 7160, 5635, 3341.5, 4415, 4280, 10298.5, 2855, 3875, 4895, 878.5,,, 4900, 4001.5,
 4855, 4802.5, 340.5, 7250, 5705, 3351.5, 4445, 4280, 10448.5, 2910, 3950,, 878.5,,, 4930, 4091.5,
 4935, 4877.5, 340.5, 7320, 5870, 3486.5, 4490, 4280, 10468.5, 2930, 4045,, 878.5,,, 4930, 4201.5,
 5010, 5047.5, 340.5, 7400, 5935, 3486.5, 4490, 4280, 10498.5, 2980, 4115,, 878.5,,, 4930, 4271.5,
 5085, 5092.5, 343.5, 7435, 6035, 3486.5, 4490,, 10618.5, 3235, 4180,, 878.5,,, 4930, 4341.5,
 5245, 5092.5, 351.9, 7435, 6110, 3526.5, 4535,, 10798.5, 3310, 4255,, 878.5,,, 4980, 4446.5,
 5320, 5097.5, 397.6, 7435, 6180, 3621.5, 4750,, 10968.5, 3380, 4330,, 878.5,,, 5060, 4521.5,
 5390, 5182.5, 657.6, 7435, 6280, 3726.5, 4760,, 11198.5, 3430, 4400,, 878.5,,, 5100, 4591.5,
 6440, 5282.5, 732.6, 7435, 6410, 3826.5, 4835,, 12278.5, 3575, 4480,, 878.5,,, 5100, 4671.5,
 6540, 5852.5, 807.6, 7435, 6475, 3911.5, 4910,, 12488.5, 3618, 4555,, 878.5,,, 5100, 4751.5,
 6620, 5957.5, 882.6, 7435, 6550, 3986.5, 4985,, 12648.5, 3638, 4625,, 878.5,,, 5125, 5006.5,
 6700, 6062.5, 957.6, 7455, 6625, 4051.5, 5060,, 12798.5, 3662, 4695,, 878.5,,, 5205, 5091.5,
 6755, 6152.5, 957.6, 7515, 6715, 4136.5, 5125,, 12908.5, 3674, 4780,, 878.5,,, 5280, 5166.5,
 7030, 6217.5, 957.6, 7630, 6815, 4231.5, 5310,, 12918.5, 3686, 4820,, 878.5,,, 5545, 5261.5,
 7580, 6257.5, 957.6, 7715, 6875, 4336.5, 5980,, 12958.5, 3790, 4930,, 878.5,,, 5900, 5281.5,
 7660, 6317.5, 957.6, 7820, 6965, 4421.5, 6085,, 13018.5, 3802, 5010,, 878.5,,, 5980, 5776.5,
 7745, 6322.5, 957.6, 7915, 7070, 4476.5, 6150,, 13538.5, 3802, 5410,, 878.5,,, 6055, 6151.5,
 8305, 6322.5, 957.6, 7985, 7185, 4526.5, 6395,, 13578.5, 3877, 5490,, 878.5,,, 6140, 6181.5,
 8380, 6352.5, 957.6, 9065, 7190, 4581.5, 6450,, 14628.5, 3957, 5570,, 878.5,,, 6225, 6246.5,
 8455, 6397.5, 957.6, 9165, 7190, 4986.5, 6525,, 16428.5, 4017, 5645,, 878.5,,, 6395, 6611.5,
 8535, 6422.5, 957.6, 9200, 7235, 5146.5, 6610,, 16428.5, 4107, 6180,, 878.5,,, 6470, 6771.5,
 8620, 6482.5, 957.6, 9200, 7275, 5221.5, 6660,, 16428.5, 4172, 6255,, 878.5,,, 6540, 6926.5,
 9085, 7027.5, 957.6, 9200, 7365, 5296.5, 6730,, 16428.5, 4247, 6520,, 878.5,,, 6625, 7011.5,
 9255, 7127.5, 957.6, 9200, 7460, 5366.5, 6830,, 16428.5, 4267, 7000,, 878.5,,, 6710, 7081.5,
