1565252613611.log,1565252899618.log,1565253630567.log,1565254384251.log,1565255177642.log,1565318254171.log,1565321934230.log,1565322807374.log,1565322966334.log,1565323287974.log,1565325303443.log,1565328768769.log,1565329424516.log,1565329644692.log,1565330197712.log,1565334495609.log,1565335268041.log,
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001.5,2000,2000,2000,2295,2000,
2000,1999.5,2000,2000,2000,2000,2000,2010,2000,1995,2000,2002,2000,2000,2000,2490,2000,
2000,2004.5,2000,2000,2000,1960,2000,2055,1985,1960,2000,2001,2000,2000,1975,2600,1985,
2000,1959.5,2000,1945,2000,1915,1985,1995,1930,1885,2000,1956,1999.4,1980,1935,2760,1920,
2000,1889.5,2000,1900,1995,2185,1910,2000,1875,1835,2210,1876,1999.4,1910,1910,2720,1840,
2000,1809.5,2000,1910,2005,2125,1840,1950,2300,1770,2165,1841,1979.4,1930,1845,2665,1785,
2000,1769.5,2000,1910,2005,2090,1765,1885,2250,1790,2415,1821,1904.4,1945,1810,2640,1800,
2000,1794.5,1920,1910,1940,2010,1690,1815,2230,1745,2415,1826,1889.4,1910,1810,2640,1970,
1925,1714.5,1855,1910,1915,1950,1695,1775,2185,1675,2385,1746,1889.4,1995,1755,2635,2095,
1855,1684.5,1795,1910,1920,1900,1635,1700,2245,1650,2370,1936,1889.4,1970,1680,2640,2155,
1800,2114.5,1715,1910,1915,1945,2030,1630,2250,1615,2345,1846,1899.4,1965,1815,2615,2155,
1735,2554.5,1685,1910,1915,1855,2030,1670,2170,1590,2320,1781,1849.4,1910,1775,2625,2155,
1680,2499.5,1685,1910,1915,1895,2035,1640,2140,1545,2305,1801,2339.4,2070,1705,2590,2110,
1650,2449.5,1650,1880,1900,1820,2035,1575,2085,1500,2355,1956,2314.4,2000,1725,2570,2150,
1620,2449.5,1650,1805,1915,1825,1940,1500,2105,1530,2405,2241,2279.4,2145,1665,2535,2080,
1535,2449.5,1645,2035,1915,1730,1905,1435,2100,1795,2370,2186,2274.4,2100,1600,2535,2045,
1535,2444.5,1595,2345,1985,1705,1975,1505,2585,1730,2360,2156,2249.4,2040,1535,2520,1995,
