1565252613611.log,1565252899618.log,1565253630567.log,1565254384251.log,1565255177642.log,1565318254171.log,1565321934230.log,1565322807374.log,1565322966334.log,1565323287974.log,1565325303443.log,1565328768769.log,1565329424516.log,1565329644692.log,1565330197712.log,1565334495609.log,1565335268041.log,
 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.5, 0, 0, 0, 8685, 0,
 0, 0.5, 0, 0, 0, 0, 0, 10, 0, 5, 0, 11, 0, 0, 0, 9000, 0,
 0, 15.5, 0, 0, 0, 50, 0, 95, 25, 40, 0, 12, 0, 0, 55, 9230, 65,
 0, 100.5, 0, 85, 0, 125, 35, 185, 100, 115, 0, 57, 0.6, 70, 125, 9500, 140,
 0, 170.5, 0, 150, 5, 545, 130, 310, 165, 205, 260, 137, 0.6, 140, 200, 9630, 220,
 0, 250.5, 0, 190, 65, 625, 200, 400, 740, 300, 345, 222, 60.6, 310, 285, 9685, 295,
 0, 290.5, 0, 190, 95, 710, 275, 485, 820, 420, 685, 302, 135.6, 415, 380, 9710, 320,
 0, 485.5, 80, 190, 190, 790, 350, 555, 890, 515, 685, 417, 150.6, 480, 510, 9710, 490,
 75, 565.5, 145, 190, 285, 880, 455, 635, 965, 585, 745, 497, 150.6, 685, 585, 9725, 615,
 145, 655.5, 205, 190, 330, 960, 535, 710, 1155, 690, 830, 787, 150.6, 800, 660, 9830, 675,
 200, 1215.5, 285, 190, 335, 1095, 1030, 800, 1300, 785, 905, 877, 170.6, 895, 935, 9915, 675,
 275, 1775.5, 335, 190, 335, 1185, 1170, 950, 1380, 910, 990, 942, 260.6, 960, 1015, 10025, 675,
 350, 1840.5, 335, 190, 335, 1325, 1295, 1030, 1450, 985, 1065, 1002, 820.6, 1230, 1085, 10110, 720,
 450, 1890.5, 390, 220, 390, 1420, 1395, 1125, 1515, 1070, 1125, 1157, 905.6, 1310, 1215, 10170, 860,
 550, 1890.5, 390, 295, 415, 1515, 1490, 1200, 1645, 1240, 1185, 1442, 990.6, 1565, 1295, 10245, 930,
 635, 1890.5, 395, 655, 415, 1610, 1585, 1275, 1790, 1615, 1260, 1497, 1085.6, 1650, 1370, 10325, 1015,
 745, 1895.5, 455, 1015, 555, 1635, 1755, 1435, 2415, 1700, 1360, 1617, 1170.6, 1740, 1455, 10410, 1085,
 810, 1895.5, 590, 1090, 640, 1690, 1860, 1520, 2590, 1765, 1440, 1692, 1260.6, 1795, 1530, 10500, 1290,
 905, 1895.5, 830, 1125, 825, 1765, 1900, 1600, 2755, 1765, 1560, 1747, 1370.6, 1895, 1610, 10560, 1385,
 985, 1940.5, 910, 1165, 895, 1835, 1920, 1675, 2825, 1765, 1675, 2122, 1460.6, 1975, 1760, 10695, 1450,
 1065, 2065.5, 1455, 1165, 980, 1910, 1920, 1770, 2875, 1765, 1775, 2202, 1570.6, 3035, 1850, 11005, 1915,
 1140, 2205.5, 1540, 1165, 1055, 2030, 1920, 1880, 3175, 1820, 1860, 2342, 1685.6, 3145, 1930, 11095, 2005,
 1210, 2280.5, 1695, 1165, 1145, 2095, 1955, 1985, 3175, 1925, 2265, 2427, 2125.6, 3180, 2020, 11170, 2815,
 1320, 2385.5, 1785, 1165, 1465, 2180, 1955, 2060, 3175, 2005, 2325, 2517, 2305.6, 3180, 2105, 11315, 2895,
 1620, 2530.5, 1855, 1180, 1535, 2255, 1955, 2125, 3225, 2090, 2490, 2627, 2715.6, 3210, 2185, 11395, 2970,
 1705, 3145.5, 2005, 1255, 1800, 2380, 1980, 2215, 3225, 2175, 2570, 2702, 2855.6, 3265, 2450, 11575, 3045,
 1820, 3220.5, 2035, 1330, 1880, 2465, 1980, 2305, 3225, 2270, 2625, 2767, 2920.6, 4350, 2525, 11635, 3120,
 1895, 3290.5, 2130, 1400, 1955, 2535, 1995, 2450, 3235, 2355, 3220, 2877, 3005.6, 4430, 2620, 12050, 3290,
 1970, 3315.5, 2235, 1445, 2060, 2805, 1995, 2600, 3235, 2455, 3350, 2957, 3090.6, 4475, 2695, 12520, 3370,
 2095, 3315.5, 2325, 1480, 2115, 2880, 2050, 2680, 3305, 2560, 3385, 3037, 4045.6, 4490, 2770, 12645, 3465,
 2170, 3315.5, 2325, 1560, 2245, 2910, 2170, 2755, 3390, 2685, 3475, 3122, 4075.6, 4500, 2840, 12720, 3540,
